str_no_string|NO STRING!
str_faction_title_male_23|General {s0}
str_faction_title_male_24|General {s0}
str_faction_title_male_25|General {s0}
str_faction_title_male_26|General {s0}
str_faction_title_female_6|{s0}
str_faction_title_female_7|{s0}
str_faction_title_female_8|{s0}
str_faction_title_female_9|{s0}
str_faction_title_female_10|{s0}
str_faction_title_female_11|{s0}
str_faction_title_female_12|{s0}
str_faction_title_female_13|{s0}
str_faction_title_female_14|{s0}
str_faction_title_female_15|{s0}
str_faction_title_female_16|{s0}
str_faction_title_female_17|{s0}
str_faction_title_female_18|{s0}
str_faction_title_female_20|{s0}
str_name_kingdom_text|你 的 家 族 的 名 字 ？ 
str_default_kingdom_name|{s0}
str_lord_defects_ordinary|领 主 背 叛 ^^{s1}已 经 放 弃 了 {reg4?她 :他 }对 {s3}的 效 忠 ， 加 入 了 {s2}
str_lord_defects_player|领 主 背 叛 ^^{s1}已 经 放 弃 了 {reg4?她 :他 }对 {s3}的 效 忠 。 他 已 经 暂 时 加 入 你 的 王 国 。 你 可 以 去 你 的 领 主 大 厅 接 受 宣 誓 ， 如 果 你 愿 意 的 话 。 
str_lord_defects_player_faction|领 主 背 叛 ^^{s1}已 经 放 弃 了 {reg4?她 :他 }对 {s3}的 效 忠 。 他 已 经 暂 时 加 入 你 的 王 国 。 你 可 以 去 你 的 领 主 大 厅 接 受 宣 誓 ， 如 果 你 愿 意 的 话 。 
str_lord_indicted_player_faction|根 据 {s6}的 命 令 ， {s5}的 {s4}被 指 控 叛 国 。 这 个 领 主 被 剥 夺 了 {reg4?她 :他 }的 所 有 财 产 ， 并 且 四 处 逃 命 。 他 想 加 入 你 的 王 国 。 你 可 以 去 你 的 领 主 大 厅 接 受 {reg?她 :他 }的 宣 誓 ， 如 果 你 愿 意 的 话 。 
str_lord_indicted_dialog_approach|你 好 ， {我 的 大 人 /尊 敬 的 女 士 }。 你 也 许 听 说 过 我 在 {s10}手 下 的 恶 劣 遭 遇 。 你 善 待 封 臣 ， 名 声 在 外 ， 如 果 你 愿 意 接 纳 我 ， 我 很 乐 意 对 你 效 忠 做 你 的 封 臣 。 
str_lord_indicted_dialog_approach_yes|我 很 乐 意 接 受 你 的 效 忠 。 
str_lord_indicted_dialog_approach_no|对 不 起 。 我 不 需 要 你 来 效 力 。 
str_lord_indicted_dialog_rejected|真 的 ？ 那 么 ， 也 许 你 那 名 声 是 一 种 谣 传 。 日 安 ， {我 的 大 人 /尊 敬 的 女 士 }， 我 去 看 看 日 本 是 否 有 别 的 统 治 者 更 赏 识 我 的 才 能 。 
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home|担 心 强 盗 在 他 的 领 地 建 立 了 一 个 藏 身 之 处 。 
str_bandit_lair_quest_description|找 到 并 摧 毁 {s9}， 然 后 向 {s11}汇 报 。 
str_bandit_hideout_preattack|你 靠 近 了 那 个 贼 窝 ， {s4}看 起 来 还 没 有 发 现 你 ， 而 你 可 以 继 续 悄 无 声 息 地 潜 行 。 靠 近 那 个 地 点 ， {s5}， 的 困 难 在 于 只 能 有 你 部 队 里 的 少 数 士 兵 可 以 参 与 进 攻 ， 而 且 还 不 能 骑 马 。 如 果 你 第 一 次 进 攻 失 败 了 ， 那 些 {s4}将 能 够 轻 易 地 逃 走 消 失 。 你 打 算 进 攻 这 个 隐 蔽 所 ， 还 是 等 待 下 次 的 机 会 ？ 
str_bandit_hideout_failure|那 些 {s4}击 退 了 你 的 进 攻 。 你 重 整 部 队 ， 再 次 进 发 却 发 现 他 们 四 散 而 去 ， 消 失 在 了 茫 茫 荒 野 之 中 ， 毫 无 疑 问 地 他 们 将 继 续 成 为 这 片 地 区 旅 行 者 们 的 威 胁 。 
str_bandit_hideout_success|随 着 他 们 的 退 路 被 切 断 ， 那 些 {s4}在 你 的 果 断 进 攻 下 一 个 接 着 一 个 倒 下 。 他 们 的 藏 身 之 所 ， 以 及 他 们 的 不 义 之 财 ， 现 在 是 你 的 了 。 
str_bandit_approach_defile|钻 入 一 条 狭 窄 的 隘 路 
str_bandit_approach_swamp|穿 过 一 片 树 林 沼 泽 
str_bandit_approach_thickets|穿 过 一 片 浓 密 的 灌 木 丛 
str_bandit_approach_cliffs|爬 上 一 条 悬 崖 上 的 小 道 
str_bandit_approach_cove|钻 进 一 个 穿 过 海 边 悬 崖 的 河 床 
str_political_explanation_lord_lacks_center|在 这 种 情 况 下 ， 领 地 应 该 封 给 一 个 既 没 有 土 地 又 没 有 收 入 的 领 主 。 
str_political_explanation_lord_took_center|在 这 种 情 况 下 ， 城 堡 应 该 归 属 于 攻 下 这 里 的 人 。 
str_political_explanation_most_deserving_friend|在 这 种 情 况 下 ， 我 会 考 虑 从 我 的 挚 友 和 心 腹 中 ， 选 出 一 个 最 值 得 奖 赏 的 人 ， 作 为 领 地 的 主 人 。 
str_political_explanation_most_deserving_in_faction|在 这 种 情 况 下 ， 我 会 考 虑 从 这 个 王 国 的 所 有 领 主 中 ， 挑 选 一 个 最 值 得 奖 赏 的 人 ， 作 为 领 地 的 主 人 。 
str_political_explanation_self|因 为 缺 少 其 他 显 见 的 候 选 人 ， 我 提 名 我 自 己 。 
str_political_explanation_marshal|我 选 择 我 们 的 贵 族 当 中 最 勇 敢 的 ， 我 所 信 任 的 ， 并 且 和 大 家 都 相 处 的 很 融 洽 的 那 个 人 。 
str_prisoner_at_large|大 的 ， 那 个 追 捕 者 在 战 斗 中 被 击 败 之 后 。 我 希 望 你 的 朋 友 马 上 重 新 露 面 。 
str_quick_battle_scene_1|农 舍 
str_quick_battle_scene_2|Snowy Forest
str_quick_battle_scene_3|An Open Field
str_quick_battle_scene_4|Castle 1
str_quick_battle_scene_5|Castle 2
str_quick_battle_troop_1|由 于 罗 得 里 格 ． 波 拉 冈 卡 的 存 在 ， 城 里 的 每 一 个 人 太 阳 下 山 以 后 出 门 都 得 带 上 武 装 警 卫 。 曾 经 有 个 野 心 勃 勃 的 商 人 来 到 提 哈 ， 带 着 一 小 笔 珠 宝 财 富 梦 想 着 能 垄 断 丝 绸 市 场 ， 他 很 快 就 成 了 叫 花 子 ， 在 和 串 通 一 气 的 罗 多 克 商 会 之 间 的 残 酷 竞 争 中 失 去 了 一 切 。 但 是 他 很 快 就 弃 商 从 武 ， 并 且 将 他 厉 害 的 生 意 技 能 投 入 到 了 打 造 维 鲁 加 最 亡 命 的 犯 罪 团 伙 之 中 ， 藏 匿 并 且 行 动 在 每 一 个 大 城 镇 里 。 他 达 到 了 自 己 的 目 的 ， 因 为 他 脑 袋 的 价 格 远 远 超 过 了 他 曾 经 追 求 的 财 富 。 现 在 他 很 乐 于 帮 他 以 前 竞 争 对 手 的 财 产 减 减 负 ， 还 有 他 的 勇 士 。 
str_quick_battle_troop_2|当 她 十 七 岁 时 ， 乌 塞 塔 尔 以 一 种 简 单 而 又 血 腥 的 风 格 ， 夺 取 了 一 群 强 盗 的 领 导 权 ， 而 他 们 占 据 着 日 本 王 国 以 南 沙 漠 中 的 一 个 乡 下 村 庄 西 里 。 在 她 的 指 挥 下 ， 这 群 恶 棍 很 快 在 整 个 南 方 扩 张 了 他 们 的 活 动 范 围 。 她 精 明 ， 性 格 果 断 ， 再 加 上 她 毫 无 怜 悯 的 野 心 ， 依 照 她 非 人 般 的 冷 静 和 残 忍 行 事 ， 不 断 赢 得 她 追 随 者 们 狂 热 的 敬 佩 。 同 样 地 ， 她 自 己 过 着 一 种 颓 废 ， 糟 糕 的 生 活 方 式 ， 建 立 在 她 旅 途 中 进 行 的 凶 暴 劫 掠 之 上 。 她 的 军 事 实 力 和 天 生 的 战 略 头 脑 让 她 在 她 的 家 乡 保 持 着 不 可 战 胜 的 地 位 ， 而 现 在 她 把 目 光 投 向 了 日 本 富 裕 的 领 土 上 来 维 持 她 的 战 团 。 
str_quick_battle_troop_3|作 为 一 个 生 活 在 乌 克 斯 豪 尔 附 近 的 小 贵 族 的 次 子 ， 荷 根 学 习 过 战 争 的 艺 术 和 单 打 独 斗 的 技 巧 。 受 封 为 骑 士 之 后 他 作 为 一 名 受 雇 用 的 骑 士 在 乌 克 斯 豪 尔 的 领 主 军 队 里 面 服 役 同 维 吉 亚 作 战 ， 直 到 有 一 天 领 导 一 群 骑 马 侍 从 击 败 了 一 次 库 吉 特 在 阿 密 尔 附 近 的 袭 击 。 继 而 进 行 的 反 击 以 及 随 后 的 两 次 战 役 带 给 了 他 勇 士 的 光 荣 和 名 声 。 不 幸 的 是 ， 当 和 平 到 来 他 就 被 解 雇 ， 失 去 了 名 扬 四 方 的 机 会 。 因 为 没 有 继 承 的 希 望 而 他 的 武 艺 又 在 和 平 时 期 日 渐 消 磨 ， 他 聚 集 其 他 年 轻 的 勇 士 组 成 了 一 支 佣 兵 团 。 好 在 日 本 从 来 不 缺 需 要 雇 佣 军 的 交 战 国 ， 他 现 在 就 寄 希 望 于 此 了 。 
str_quick_battle_troop_4|肯 拉 德 是 一 名 专 业 雇 佣 兵 ， 来 自 遥 远 的 巴 里 昂 大 陆 ， 远 在 辽 阔 的 大 洋 西 边 。 在 战 事 中 度 过 自 己 大 部 分 的 时 光 并 且 经 历 了 不 计 其 数 的 战 斗 之 后 ， 肯 拉 德 变 得 热 爱 上 了 他 那 赏 金 战 士 的 生 活 。 尽 管 他 的 鼻 子 曾 经 被 一 支 锤 子 砸 得 扁 平 还 遭 受 过 许 多 创 伤 ， 他 仍 然 靠 他 强 壮 的 体 格 ， 天 生 的 狡 猾 和 纯 粹 的 运 气 在 这 种 险 恶 的 生 活 中 存 活 了 下 来 。 听 说 在 日 本 有 利 于 事 业 的 机 会 等 待 着 有 才 能 的 人 ， 肯 拉 德 和 他 的 部 下 租 了 一 艘 船 越 洋 过 海 来 新 的 战 争 中 寻 找 机 会 。 一 个 和 日 本 诸 国 没 有 任 何 关 联 的 自 由 战 士 ， 他 非 常 乐 意 为 任 何 可 以 给 他 丰 厚 报 酬 的 领 主 效 力 。 
str_quick_battle_troop_5|瑟 沃 勒 是 一 名 所 谓 的 海 寇 ， 来 自 北 海 之 外 的 冰 雪 之 国 亚 穆 拿 的 海 盗 和 不 法 之 徒 ， 那 里 也 被 称 为 诺 德 人 的 本 土 故 乡 。 他 成 年 之 后 参 与 了 许 多 次 对 他 那 些 窝 车 则 地 区 的 远 亲 以 及 维 吉 亚 人 的 袭 击 。 可 是 ， 瑟 沃 勒 一 直 是 一 个 精 明 的 小 伙 子 ， 没 过 多 久 他 就 发 现 日 本 是 一 个 比 他 故 乡 繁 荣 的 多 的 大 陆 ， 他 在 这 里 可 以 过 上 比 他 那 些 同 胞 更 好 的 生 活 。 有 一 次 劫 掠 杰 耶 克 时 ， 瑟 沃 勒 乘 他 的 同 伴 们 忙 于 抢 劫 村 庄 掠 夺 俘 虏 的 时 候 偷 偷 溜 走 了 。 没 有 让 自 己 在 切 尔 贝 克 群 山 那 里 种 地 ， 瑟 沃 勒 很 快 作 为 一 名 凶 猛 的 斗 士 而 名 声 大 振 ， 而 现 在 他 作 为 一 名 雇 佣 军 团 的 首 领 来 寻 求 自 己 的 财 富 。 
str_quick_battle_troop_6|来 自 夏 洛 奈 ， 在 维 吉 亚 雪 原 的 远 方 ， 波 里 斯 拉 维 是 一 名 猎 人 。 他 一 生 都 在 追 踪 野 兽 来 获 取 它 们 肉 和 皮 毛 ， 就 像 他 的 祖 先 所 做 的 一 样 靠 这 片 土 地 过 着 快 乐 的 生 活 ， 直 到 无 尽 的 战 争 来 临 。 现 在 ， 猎 物 很 快 被 战 场 上 的 不 断 的 喊 杀 声 惊 吓 ， 而 士 兵 们 对 动 物 的 任 意 屠 杀 让 那 些 还 没 有 被 烧 为 平 地 的 森 林 也 空 荡 荡 的 了 。 面 对 着 可 能 被 饿 死 的 命 运 ， 波 里 斯 拉 维 选 择 把 他 从 猎 杀 牡 鹿 ， 狼 和 熊 中 所 学 到 的 高 超 箭 法 和 矛 术 ， 运 用 到 猎 杀 人 类 上 来 ， 而 他 稳 健 的 双 手 和 敏 锐 的 眼 睛 已 经 夺 走 了 许 多 生 命 。 波 里 斯 拉 维 不 是 很 关 心 王 国 之 间 的 纷 争 ， 真 正 有 兴 趣 的 只 是 养 活 他 和 他 的 手 下 。 
str_quick_battle_troop_7|斯 塔 罗 斯 出 生 在 中 立 城 邦 禅 达 ， 成 年 以 后 的 大 部 分 时 间 都 在 着 名 的 治 安 官 哈 瑞 克 手 下 做 城 镇 警 卫 。 斯 塔 罗 斯 的 领 导 能 力 和 威 力 对 于 驱 赶 那 个 地 方 讨 厌 的 水 贼 很 有 效 果 ， 但 就 算 是 他 对 于 降 临 到 那 个 城 市 的 灾 难 也 无 能 为 力 。 当 禅 达 被 一 大 群 海 寇 夷 为 平 地 的 时 候 ， 斯 塔 罗 斯 随 着 一 群 难 民 逃 离 了 燃 烧 着 的 城 市 。 经 过 了 一 段 短 暂 的 流 浪 和 零 工 生 活 之 后 ， 他 加 入 到 了 一 个 雇 佣 军 团 之 中 ， 最 终 因 为 他 的 贡 献 和 战 术 天 分 成 为 了 他 们 的 首 领 。 现 在 他 把 自 己 的 大 部 分 努 力 都 投 入 到 和 赏 金 猎 人 以 及 地 方 当 局 合 作 对 抗 海 寇 和 其 他 歹 徒 上 面 ， 努 力 为 旅 行 者 保 持 这 片 大 陆 的 安 全 。 
str_quick_battle_troop_8|加 玛 拉 在 萨 兰 德 疆 域 外 沙 漠 深 处 的 一 个 游 牧 部 落 长 大 ， 自 幼 便 学 会 了 用 投 石 索 和 长 矛 狩 猎 。 然 而 沙 漠 里 简 朴 的 生 活 与 严 酷 的 环 境 无 法 满 足 她 ， 关 于 远 方 世 界 的 奇 妙 传 说 让 她 内 心 燃 起 渴 望 ， 决 意 去 亲 眼 见 识 那 片 广 阔 的 天 地 。 一 位 年 轻 女 子 踏 上 冒 险 之 旅 并 不 容 易 ， 加 玛 拉 必 须 快 速 适 应 日 本 的 生 存 之 道 。 在 一 次 争 执 后 ， 她 夺 走 了 袭 击 者 的 武 器 铠 甲 ， 从 此 用 厚 实 的 萨 兰 迪 装 束 掩 藏 美 貌 ， 无 人 怀 疑 她 是 女 子 ， 当 然 在 战 场 上 ， 她 展 现 出 的 战 斗 力 丝 毫 不 逊 于 任 何 男 子 。 如 今 她 已 聚 集 起 一 群 追 随 者 ， 众 人 一 同 在 这 战 火 纷 飞 的 土 地 上 追 寻 荣 耀 。 
str_quick_battle_troop_9|埃 瑟 罗 德 不 是 个 贵 族 。 他 两 次 易 名 ， 并 且 对 发 生 在 维 吉 亚 领 土 上 的 大 部 分 犯 罪 都 负 有 责 任 。 是 真 是 假 ， 他 宣 称 从 未 取 走 过 无 辜 的 人 的 性 命 ， 并 且 认 为 自 己 是 一 个 爱 国 的 公 民 ， 数 次 带 领 他 的 军 团 或 者 叛 军 援 助 他 的 阵 营 ， 当 他 的 阵 营 受 到 威 胁 的 时 候 。 可 是 ， 在 和 平 时 期 ， 由 于 他 大 胆 的 个 性 并 且 愿 意 主 动 挑 战 那 些 领 主 ， 当 他 出 现 在 附 近 时 大 部 分 领 主 都 得 小 心 。 出 生 并 且 在 日 瓦 丁 的 贫 民 窟 中 长 大 ， 他 很 小 学 会 了 如 何 使 用 弓 箭 并 且 在 十 四 岁 时 离 开 了 家 。 现 在 他 已 经 三 十 二 岁 ， 他 的 弓 箭 技 术 近 乎 完 美 却 不 怎 么 会 骑 马 ， 他 可 以 击 中 极 远 距 离 外 的 目 标 。 像 钉 子 一 样 坚 强 像 老 鹰 一 样 犀 利 ， 他 真 正 是 当 地 的 传 奇 。 
str_quick_battle_troop_10|作 为 萨 兰 德 王 国 最 声 名 狼 藉 的 强 盗 首 领 之 一 的 女 儿 不 总 是 那 么 容 易 ， 塞 尔 拉 却 似 乎 应 付 自 如 。 不 像 大 多 数 的 女 人 那 样 ， 她 成 长 过 程 中 学 习 的 是 如 何 成 为 沙 漠 勇 士 ， 她 练 就 了 致 命 的 剑 术 和 弓 术 。 当 别 的 女 孩 子 在 她 那 个 年 纪 学 习 家 务 时 ， 塞 尔 拉 学 的 是 如 何 完 美 地 在 拿 走 一 个 商 人 的 钱 财 之 前 把 他 开 膛 破 肚 。 在 十 六 岁 时 塞 尔 拉 杀 的 人 比 苏 丹 军 队 里 面 的 资 深 士 兵 平 均 杀 的 人 还 多 。 就 在 她 二 十 岁 生 日 之 前 她 的 父 亲 在 和 另 一 个 强 盗 头 子 争 吵 的 时 候 被 杀 死 了 。 作 为 唯 一 的 孩 子 ， 塞 尔 拉 现 在 掌 控 了 她 父 亲 的 队 伍 。 为 她 父 亲 报 仇 之 后 ， 她 很 快 接 管 了 他 留 下 的 一 切 。 现 在 她 树 立 了 她 自 己 的 ， 作 为 强 盗 首 领 的 名 声 。 
str_quick_battle_troop_11|阿 罗 格 ． 森 德 纳 尔 拥 有 多 彩 的 一 生 。 当 他 来 到 日 本 ， 像 商 人 那 样 劳 作 ， 他 希 望 能 比 在 洛 克 提 获 得 更 多 的 收 入 。 他 所 不 知 的 是 ， 战 事 不 断 的 日 本 就 像 是 聚 集 了 强 盗 和 凶 手 们 的 蜂 巢 ， 做 生 意 要 比 洛 克 提 复 杂 的 多 。 在 生 意 对 手 的 经 济 打 压 之 下 ， 在 一 次 商 队 被 洗 劫 失 去 他 所 有 的 货 物 和 财 物 之 后 ， 他 被 迫 做 了 一 名 商 队 护 卫 来 谋 生 。 尽 管 他 武 艺 平 平 ， 他 很 快 找 到 了 一 个 要 穿 过 日 本 最 危 险 的 路 径 之 一 的 雇 主 。 纯 粹 是 运 气 帮 忙 他 命 大 到 积 累 了 足 够 的 战 斗 经 验 和 钱 让 自 己 做 了 一 名 商 队 首 领 开 始 了 自 己 的 生 意 ， 为 需 要 保 护 自 己 货 物 的 商 人 提 供 他 的 服 务 。 
str_tutorial_training_ground_intro_message|在 训 练 场 上 四 处 走 走 ， 那 些 斗 士 们 将 会 传 授 给 你 各 种 《 Mount&Blade 》 游 戏 中 有 用 的 格 斗 技 巧 ， 你 可 以 使 用 “ AWSD ” 四 个 按 键 来 控 制 人 物 的 移 动 ， 如 果 你 想 和 别 的 角 色 对 话 ， 走 近 他 们 ， 直 到 他 们 的 名 字 在 你 的 屏 幕 上 显 示 出 来 ， 然 后 按 下 “ F ” 键 ， 当 你 想 捡 起 某 件 道 具 ， 打 开 房 间 的 大 门 或 者 参 与 游 戏 中 的 其 他 互 动 时 ， 你 同 样 可 以 使 用 “ F ” 键 。 当 你 决 定 结 束 教 程 时 ， 请 按 下 “ Tab ” 键 离 开 。 
str_map_basic|地 图 
str_game_type_basic|游 戏 类 型 
str_battle|战 场 模 式 
str_siege_offense|围 城 ( 进 攻 )
str_siege_defense|围 城 ( 防 御 )
str_character|角 色 
str_biography|背 景 
str_player|玩 家 
str_enemy|敌 人 
str_faction|阵 营 
str_army_composition|部 队 成 份 
str_army_size|部 队 规 模 
str_reg0_men|{reg0}人 
str_start|开 始 
str_i_need_to_raise_some_men_before_attempting_anything_else|我 在 试 图 干 任 何 事 情 之 前 最 好 先 召 集 一 些 人 
str_we_are_currently_at_peace|我 们 现 在 保 持 和 平 
str_the_marshalship|元 帅 职 位 
str_you|你 
str_myself|我 自 己 
str_my_friend_s15|我 的 朋 友 {s15}
str_custom_battle|定 制 战 斗 
str_comment_intro_liege_affiliated_to_player|据 说 你 对 我 ， 日 本 大 名 的 权 力 和 地 位 提 出 了 质 疑 ？ 毫 无 疑 问 ， 我 对 此 极 为 不 快 ， 但 是 我 是 仁 慈 和 明 理 的 人 ， 我 们 仍 然 可 以 就 此 谈 谈 。 
str_s21_the_s8_declared_war_out_of_personal_enmity|{s8}{s21}由 于 个 人 恩 怨 而 宣 战 
str_s21_the_s8_declared_war_in_response_to_border_provocations|{s8}{s21}由 于 敌 人 针 对 边 境 的 挑 衅 而 宣 战 
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|{s8}{s21}为 了 削 弱 其 他 国 家 的 实 力 而 宣 战 
str_s21_the_s8_declared_war_to_regain_lost_territory|{s8}{s21}为 了 收 复 失 地 而 宣 战 
str__family_|^ 家 族 ， 
str_we_are_conducting_recce|在 决 定 要 做 什 么 之 前 ， 我 们 必 须 先 仔 细 侦 查 这 个 地 区 。 
str_s49_s12_s11_end|{s49}{s12}( {s11}) 。 
str_center_party_not_active|并 不 是 我 们 的 目 标 ， 我 们 没 有 哪 位 领 主 曾 经 占 领 此 处 。 
str_center_is_friendly|不 是 我 们 的 敌 人 。 
str_center_is_already_besieged|正 遭 到 围 攻 。 
str_center_is_looted_or_raided_already|已 经 化 为 一 片 废 墟 。 
str_center_marshal_does_not_want_to_attack_innocents|如 果 被 化 为 一 片 废 墟 的 话 ， 承 受 最 多 痛 苦 的 就 是 那 些 住 在 这 里 的 村 民 们 。 
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|正 遭 到 围 攻 ， 此 时 赶 往 别 处 是 极 不 明 智 的 。 
str_center_we_are_already_here_we_should_at_least_loot_the_village|已 经 落 入 我 们 的 手 中 ， 我 们 应 该 掠 走 所 有 的 财 富 ， 然 后 把 身 下 的 一 切 都 化 为 灰 烬 。 
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|NOT USED
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|距 离 太 远 了 ， 连 侦 察 都 很 困 难 。 
str_center_far_away_even_for_our_aggressive_marshal_to_reconnoiter|距 离 太 远 了 ， 连 侦 察 都 很 困 难 。 
str_center_far_away_reason|{s6}比 {s5}距 我 们 的 势 力 范 围 还 要 远 ， 这 样 一 来 ， 即 使 我 们 占 领 了 那 里 也 无 法 保 障 它 的 安 全 。 
str_center_closer_but_this_is_not_enought|{s6}比 {s5}距 我 们 的 国 境 近 多 了 ， 但 是 由 于 一 些 其 他 的 原 因 ， 我 们 此 时 无 法 对 {s6}展 开 进 攻 。 
str_center_protected_by_enemy_army_aggressive|正 被 一 支 实 力 毫 无 疑 问 比 我 们 强 大 的 敌 军 驻 守 。 
str_center_protected_by_enemy_army_cautious|正 被 一 支 强 大 的 敌 军 驻 守 ， 在 他 们 面 前 我 们 毫 无 胜 算 。 
str_center_cautious_marshal_believes_center_too_difficult_to_capture|将 会 是 一 场 惨 烈 且 风 险 很 高 的 战 斗 。 
str_center_even_aggressive_marshal_believes_center_too_difficult_to_capture|的 防 御 太 过 坚 固 ， 无 法 攻 占 。 
str_center_value_outweighed_by_difficulty_of_capture|那 里 不 值 得 我 们 冒 险 进 攻 。 
str_center_value_justifies_the_difficulty_of_capture|毫 无 疑 问 会 被 我 们 攻 占 ， 它 也 确 实 有 进 攻 的 价 值 。 
str_center_is_indefensible|距 我 们 的 另 一 座 城 堡 太 远 ， 难 以 防 守 。 
str_we_are_waiting_for_selection_of_marshal|我 们 正 等 候 元 帅 的 挑 选 。 
str_best_to_attack_the_enemy_lands|我 们 已 经 拥 有 了 如 此 规 模 的 部 队 ， 最 好 的 选 择 就 是 对 敌 人 的 领 地 展 开 进 攻 。 
str_we_believe_the_fortress_will_be_worth_the_effort_to_take_it|我 们 相 信 这 座 城 堡 值 得 进 攻 。 
str_we_will_gather_to_defend_the_beleaguered_fortress|我 们 将 集 结 力 量 防 守 这 座 被 围 攻 的 城 堡 。 
str_the_enemy_temporarily_has_the_field|敌 人 只 是 暂 时 占 领 了 这 里 ， 我 们 应 该 先 找 一 处 避 难 所 避 避 风 头 。 
str_center_has_not_been_scouted|仅 此 没 有 被 我 们 侦 察 ， 但 是 我 们 可 以 先 出 发 ， 等 接 近 那 里 之 后 再 作 进 一 步 的 打 算 。 
str_we_have_assembled_some_vassals|我 们 已 经 集 合 了 一 部 分 领 主 ， 但 是 在 我 们 进 入 敌 人 的 领 土 前 ， 仍 然 需 要 等 候 更 多 的 领 主 率 领 部 队 加 入 我 们 以 策 万 全 。 
str_we_are_waiting_here_for_vassals|我 们 正 在 等 待 一 位 领 主 的 加 入 。 
str_we_are_travelling_to_s11_for_vassals|我 们 正 赶 往 {s11}， 这 样 一 来 领 主 们 就 能 更 容 易 地 在 我 们 出 击 前 加 入 我 们 的 队 伍 了 。 
str_center_strength_not_scouted|我 们 最 近 没 有 进 行 侦 查 ， 所 以 对 那 里 的 防 御 力 量 一 无 所 知 
str_center_strength_strongly_defended|我 们 相 信 它 的 驻 军 数 量 非 常 庞 大 ， 防 守 十 分 坚 固 
str_center_strength_moderately_defended|我 们 相 信 它 的 驻 军 数 量 和 防 御 能 力 都 很 普 通 
str_center_strength_weakly_defended|我 们 相 信 它 的 驻 军 非 常 少 ， 防 守 力 量 不 堪 一 击 
str_center_distant_from_concentration|和 我 们 的 距 离 要 远 远 小 于 我 们 发 现 的 距 它 最 近 的 敌 军 部 队 ， 我 们 完 全 可 以 在 敌 人 的 部 队 赶 来 增 援 前 就 将 他 们 彻 底 消 灭 
str_plus|+
str_minus|-
str_tutorial_training_ground_warning_no_weapon|嗨 ， 你 不 觉 得 在 我 们 开 始 前 你 需 要 先 拿 一 把 武 器 吗 ？ 那 里 就 有 不 少 武 器 可 以 使 用 ， 赶 快 找 一 把 趁 手 的 。 
str_tutorial_training_ground_warning_shield|你 首 先 要 收 起 你 的 盾 牌 。 下 转 滑 鼠 滚 轮 来 收 起 你 的 盾 牌 。 
str_tutorial_training_ground_warning_melee_with_parry|在 这 个 练 习 里 你 需 要 掌 握 近 战 武 器 。 
str_tutorial_training_ground_warning_melee|上 转 你 的 滑 鼠 滚 轮 来 取 出 一 件 武 器 。 上 转 滚 轮 可 以 取 出 你 所 装 备 的 下 一 件 武 器 而 下 转 滚 轮 取 出 你 所 装 备 的 下 一 件 盾 牌 。 
str_tutorial_training_ground_attack_training|成 功 攻 击 次 数 ， {reg0}/5^ 失 败 攻 击 次 数 ， {reg1}^{s0}
str_tutorial_training_ground_attack_training_down|进 行 戳 刺 攻 击 ！ ( 按 下 滑 鼠 左 键 并 向 下 移 动 你 的 滑 鼠 )
str_tutorial_training_ground_attack_training_up|进 行 上 劈 攻 击 ！ ( 按 下 滑 鼠 左 键 并 向 上 移 动 你 的 滑 鼠 )
str_tutorial_training_ground_attack_training_left|左 砍 攻 击 ！ ( 按 下 滑 鼠 左 键 并 向 左 移 动 你 的 滑 鼠 )
str_tutorial_training_ground_attack_training_right|右 砍 攻 击 ！ ( 按 下 滑 鼠 左 键 并 向 右 移 动 你 的 滑 鼠 )
str_tutorial_training_ground_parry_training|成 功 躲 避 次 数 ， {reg0}/5
str_tutorial_training_ground_chamber_training|成 功 格 挡 次 数 ， {reg0}/5
str_tutorial_training_ground_archer_training|准 确 射 击 次 数 ， {reg0}/3^{s0}
str_tutorial_training_ground_ammo_refill|你 的 远 程 弹 药 在 教 程 中 重 新 装 满 。 
str_tutorial_training_ground_archer_text_1|靠 近 {s0}然 后 按 下 F 键 捡 起 它 。 
str_tutorial_training_ground_archer_text_2|现 在 射 击 目 标 。 
str_tutorial_training_ground_archer_text_3|准 心 的 大 小 代 表 了 你 的 射 击 精 度 。 按 下 滑 鼠 左 键 不 放 直 到 准 心 聚 拢 到 最 小 。 当 准 心 到 达 最 小 时 释 放 滑 鼠 左 键 。 如 果 你 瞄 准 的 时 间 过 长 准 心 会 再 次 放 大 。 
str_tutorial_training_ground_archer_text_4|按 下 R 键 切 换 到 第 一 人 称 视 角 。 第 一 人 称 视 角 更 易 于 远 程 武 器 的 瞄 准 。 
str_tutorial_training_ground_archer_text_5|你 已 击 中 了 所 有 目 标 。 现 在 再 去 和 教 练 交 谈 。 
str_tutorial_training_ground_horseman_text_1|走 近 {s0}然 后 按 下 F 键 捡 起 它 。 
str_tutorial_training_ground_horseman_text_2|靠 近 马 匹 然 后 按 F 键 骑 马 。 
str_tutorial_training_ground_horseman_text_3|骑 向 下 一 个 中 点 。 
